Transaction_ID,Customer_ID,Amount,Date,Status,Branch_ID,Branch_Name,City,Payment_Method,Merchant_Name,Product_Category
af9f46d6-3c83-44f4-a2c7-e767a1c15161,2ea0c0bd-8dc4-4789-9636-b1f623dfc0ed,8450.24,2025-04-26,,BAN-KOR,Koramangala,Bangalore,Debit Card,Smith Group,Books
dbc25c0c-f9f1-47a4-931e-f1a6c697c35b,239609db-e979-4423-9f33-2581be563d07,9595.39,2025-04-26,Pending,BAN-X-ERR,KORAMANGALA,bangalore,Debit Card,"Roberson, Davis and Williams",
dbc25c0c-f9f1-47a4-931e-f1a6c697c35b,239609db-e979-4423-9f33-2581be563d07,9595.39,2025-04-26,Pending,BAN-X-ERR,KORAMANGALA,bangalore,Debit Card,"Roberson, Davis and Williams",
4c9ff10b-c682-43ce-8753-9f87edae76c0,6b334829-78d1-463b-9d87-f9334c111257,6918.95,2025-04-21,,BAN-X-ERR,KORAMANGALA,bangalore,,"Freeman, Vasquez and Hicks",clothng
90166300-86ed-4be3-b877-3f7d9577af0e,284149a3-dd53-47e4-af30-314562a7b05c,3755.57,2025-04-27,,BAN-KOR,Koramangala,Bangalore,,Jimenez-Carter,clothng
b6d658e6-d3c9-4466-b2b0-679c3b48b9f6,8d74605b-efd9-4f90-a487-28c89e67325a,1147.61,2025-04-27,Failed,BAN-KOR,Koramangala,Bangalore,UPI,Wilkins-Ayala,clothng
8e5c4995-cbff-4b36-8222-058251ffa1c7,920d9666-4e8d-4c03-8ef7-505483034cf6,7152.99,2025-04-25,,BAN-KOR,Koramangala,Bangalore,upi,"Martin, Jackson and Duarte",Toys
0782da85-8e92-41bd-a1b3-0110525feb10,1cf0ba5a-b434-4a28-bf55-1b92df8b7e63,3166.53,2025-04-24, pending,BAN-KOR,Koramangala,Bangalore,upi,Munoz LLC,
fa8600cd-1094-45d1-b71d-8129cd80af82,364bf82c-12e5-4648-b1ce-263cba77f397,7743.26,2025-04-25,Failed,BAN-KOR,Koramangala,Bangalore,UPI,,Books
4d7b2b94-1112-45e1-a137-666ad8d83ac9,a9710d4e-557f-4964-819e-6147b925ddfe,4915.27,2025-04-26, pending,BAN-KOR,Koramangala,Bangalore,,Jones-Adams,Toys
1048cfa0-f259-46d6-8f89-4c26c51c2b3e,ee06974e-2f77-4dbd-92f7-595f9b403266,4881.86,2025-04-25,,BAN-KOR,Koramangala,Bangalore,Cash,Miller PLC,Home Decor
b00871ad-c61e-420f-b297-26adf0f710f4,4c6d2aff-1ac0-40d9-bf05-0787e4315d98,6236.52,2025-04-25,,BAN-KOR,Koramangala,Bangalore,Cash,White-Santos,Electronics
eb931392-52d7-4563-afb0-c5f64d35dd4b,bcc2fbb4-6c9e-4274-a877-5fd683a2e931,48443.07,2025-04-25,,BAN-X-ERR,KORAMANGALA,bangalore,Credit Card,Weiss PLC,Electronics
ecd760e5-fc04-461f-ac37-f00aafaab1b7,66aba70b-f898-42ac-8371-5a26baeca74a,3467.06,2025-04-22,Failed,BAN-KOR,Koramangala,Bangalore,UPI,Henderson PLC,Books
7c0e1249-04b5-48b9-90be-f96b1d558058,,3953.91,2025-04-24, success ,BAN-X-ERR,KORAMANGALA,bangalore,Debit Card,"Rogers, Moore and Torres",Electronics
ee73bcdb-f015-4c23-8bb3-0909d748c6d1,f7c6b0f8-a51d-427c-9e23-ea03677f7299,9033.93,2025-04-25, success ,BAN-KOR,Koramangala,Bangalore,Credit Card,Mcintosh LLC,Clothing
