Transaction_ID,Customer_ID,Amount,Date,Status,Branch_ID,Branch_Name,City,Payment_Method,Merchant_Name,Product_Category
,,7547.09,2025-04-24,,MUM-X-ERR,GHATKOPAR,mumbai,UPI,Barton and Sons,
,bccf45c8-7521-4a99-9726-e17876b1cd87,30914.61,2025-04-21,Success,MUM-X-ERR,GHATKOPAR,mumbai,upi,"Henderson, Rivas and Bishop",clothng
4abc5d91-965a-48c5-a7bc-d5a72bef0136,b7cc7157-34cc-47ac-87bb-a5df2861536f,1854.77,2025-04-27,,MUM-GHA,Ghatkopar,Mumbai,Cash,"Mckay, Young and Wilkerson",Clothing
f527fa92-3cc6-485f-8565-ad41acb0bce4,fd5444ec-afe4-4dbb-8d6f-c7e353ab7473,1774.13,2025-04-21, pending,MUM-GHA,Ghatkopar,Mumbai,Net Banking,Campbell PLC,electronics
731baedd-6b25-41e9-ba78-14729c4973a4,994be696-6160-4c3c-be6f-2cf706db51d3,1454.22,2025-04-23, success ,MUM-GHA,Ghatkopar,Mumbai,Cash,Jensen PLC,Clothing
5e2c5cf9-0082-4826-b09a-11ec706eb43a,87cef9a2-9b75-459c-bf09-338c422aaaa7,1106.01,2025-04-22,,MUM-X-ERR,GHATKOPAR,mumbai,upi,Hall-Gaines,Clothing
a89fd6ce-4726-4174-8699-1c22be146c81,0de6d57e-cfcd-4535-becf-c25ec94e36bf,3116.38,2025-04-22, pending,MUM-GHA,Ghatkopar,Mumbai,Net Banking,"Gregory, Yang and Owens",Clothing
78b2a65d-6a0e-49b2-9c94-d5c689ed4d64,016db752-ed6b-4872-9c2b-15378082efd4,6552.28,2025-04-25,Failed,MUM-GHA,Ghatkopar,Mumbai,upi,"Bennett, Davidson and Alvarado",Books
e20e22b8-57ff-4548-9d28-67a0ad845afe,dd1b469d-9474-4809-8717-9af0a52bd100,673.81,2025-04-21,Failed,MUM-GHA,Ghatkopar,Mumbai,Debit Card,Gray LLC,Groceries
ebc72f45-94b7-477b-85bb-ed6ce1ea7e7a,e6b87bf5-2454-49f6-a87d-d098b903b981,2995.1,2025-04-27,Failed,MUM-GHA,Ghatkopar,Mumbai,Cash,Murphy and Sons,Books
0bdfa5f0-c653-405e-b2e2-7aa8f081eaef,efd9b5e1-0ded-4b4d-b9d8-1ee91d4bc914,8147.94,2025-04-22, success ,MUM-GHA,Ghatkopar,Mumbai,Credit Card,Mccoy-Williams,Electronics
07f55f28-341e-4895-8c44-c0fde13ce64d,080ccf78-8a17-4298-a10c-f398835f9963,3176.61,2025-04-27, pending,MUM-GHA,Ghatkopar,Mumbai,Debit Card,"Villanueva, Woodward and Jones",electronics
87585e33-2674-4da1-a6f0-c1f528ca1d6f,6a247a0c-f224-4b8d-99c3-6e152a650cdf,9429.91,2025-04-27,Pending,MUM-GHA,Ghatkopar,Mumbai,UPI,,
c5388e2a-dec0-4aa2-a6ba-6a872c81a569,d7aaa061-4c94-4c5d-953a-7ad34bc58129,8624.43,2025-04-27,Success,MUM-GHA,Ghatkopar,Mumbai,Cash,,Electronics
07ba9437-f24f-4dc4-8094-7fb553850d92,75281c2c-04ec-42fc-99c4-c947a917676b,1649.13,2025-04-22,Failed,MUM-GHA,Ghatkopar,Mumbai,UPI,"Romero, Riley and Morgan",Books
,a597b0b5-a43e-49dd-af10-d73990a05c33,1175.65,2025-04-26,Failed,MUM-X-ERR,GHATKOPAR,mumbai,CASH,"Hill, Jones and Fernandez",Books
af77e124-97a3-4a49-afe3-1ce46c48923d,e27269b1-998f-4a87-b81f-9c641cc1df92,3307.65,2025-04-25, pending,MUM-X-ERR,GHATKOPAR,mumbai,Debit Card,Jackson Group,Books
03fb7a22-21e7-4b58-a454-6b2567f91636,,6164.99,2025-04-27,Success,MUM-X-ERR,GHATKOPAR,mumbai,UPI,Moreno Inc,Clothing
74cf633f-1ebb-449f-9ff9-79be3d77b36f,cdf16565-c1e5-4ebb-a2b6-da970e8ba9bd,2677.77,2025-04-23,FAILED,MUM-GHA,Ghatkopar,Mumbai,Net Banking,Lee-Valenzuela,
37e54364-44f2-4286-87d6-1fef43ba5ffa,61a90374-9848-422e-8d95-e7a85378e6f6,6349.85,2025-04-23, success ,MUM-GHA,Ghatkopar,Mumbai,upi,"King, Murillo and Becker",Clothing
0180aceb-e665-4302-bc0b-a9d2e002f214,bc5c62d0-02cd-406e-adbb-875214cb07a9,40354.31,2025-04-24, pending,MUM-X-ERR,GHATKOPAR,mumbai,,"Arias, Thomas and Martin",Electronics
6867035e-3706-404c-9fba-343ce07cdd5c,170bdd14-95e7-4610-84c0-d48a98bf6a3e,6408.29,2025-04-22,,MUM-GHA,Ghatkopar,Mumbai,,Ellis and Sons,Groceries
e8d333b1-8d23-49a4-aec1-783f024adee9,67b29aec-738b-4ebb-91e3-684c44299fa1,3340.4,2025-04-21,Success,MUM-GHA,Ghatkopar,Mumbai,Cash,Bishop Ltd,Electronics
21c185b5-0032-4863-b2e8-71b3c2d3d967,3e064311-4b2c-4073-8114-3151eb151b3a,1947.59,2025-04-25,,MUM-GHA,Ghatkopar,Mumbai,CASH,Anderson-Hubbard,
5a181f58-0ac2-4396-8eef-48d8b0908f13,c39bf1f8-b2ca-4bd2-b8e9-09f05ad817ba,8545.98,2025-04-26,Failed,MUM-GHA,Ghatkopar,Mumbai,UPI,Mason-Miller,Books
ca2e8da6-708a-42f7-90ad-d6058864d32c,47440006-f10e-40ea-8764-f8c75e01ea7d,7693.13,2025-04-21,FAILED,MUM-GHA,Ghatkopar,Mumbai,,Russo Ltd,Home Decor
e61bc863-e08e-40a0-9724-76da45a04d54,1e6d6025-2599-4912-8bfa-0f358290b913,8695.75,2025-04-25, pending,MUM-GHA,Ghatkopar,Mumbai,Net Banking,"Hudson, Bolton and Wright",Toys
b6594e2e-f066-46f7-86c5-1d5a5e938891,ffc29344-26fb-4d42-a93e-c251666ab560,2957.86,2025-04-23,Success,MUM-GHA,Ghatkopar,Mumbai,upi,Hall Inc,Groceries
76ae0304-ce8a-4293-a73a-38f76193ab08,f85c24c3-9ffb-4fa9-8684-bb619ab4a698,446.06,2025-04-27,FAILED,MUM-GHA,Ghatkopar,Mumbai,Net Banking,Campbell-Jones,clothng
91237a9d-4f77-483d-94db-aa545f71ff4c,e94f9c81-f7c1-4030-bc0e-de33d10c7983,5377.83,2025-04-23,Success,MUM-GHA,Ghatkopar,Mumbai,Debit Card,,Clothing
,,-98.73,2025-04-22,FAILED,MUM-X-ERR,GHATKOPAR,mumbai,,"Williams, Scott and Jacobs",Groceries
f61437f1-2a70-4c30-af3c-a15a630f4268,20f9bfc9-9eb0-4058-904d-0a5069258881,7058.33,2025-04-21,,MUM-X-ERR,GHATKOPAR,mumbai,Net Banking,Butler-Jones,Electronics
f61437f1-2a70-4c30-af3c-a15a630f4268,20f9bfc9-9eb0-4058-904d-0a5069258881,7058.33,2025-04-21,,MUM-X-ERR,GHATKOPAR,mumbai,Net Banking,Butler-Jones,Electronics
91b6d376-ee71-4b0c-b2d9-442174260100,306bba50-2d4a-4d08-a87e-93fb955a2740,3343.22,2025-04-25,FAILED,MUM-X-ERR,GHATKOPAR,mumbai,CASH,Bishop-Lawrence,Electronics
a84517ee-99cf-4419-b2af-0414e3c28fe1,ea3131cf-9686-4cbe-a781-82d4d234fb9d,3600.39,2025-04-27,Pending,MUM-GHA,Ghatkopar,Mumbai,CASH,Lewis PLC,Groceries
f8f837f2-dd7b-462b-ba3a-c4ccbc1c1ae9,76c82262-83c7-43fb-8e54-912e665a6c4a,5573.78,2025-04-27, success ,MUM-GHA,Ghatkopar,Mumbai,Credit Card,Carr-Watson,Electronics
4d1567e8-0329-492d-af0f-5fdcc7eee466,8672f96f-413b-4738-bf3f-433d1f1540cc,6834.2,2025-04-23,,MUM-GHA,Ghatkopar,Mumbai,,Mills LLC,
3f3ca8ee-d027-48b7-9ba6-7574e52caa86,9a663d0a-333c-42bf-93ce-8fb6187c3bb0,7603.05,2025-04-27,,MUM-X-ERR,GHATKOPAR,mumbai,Credit Card,"Lopez, Duran and Miller",Home Decor
02851b01-6707-465f-a045-1f7efdb4efd7,11060c0d-e595-4021-8121-9aeb07823bfb,5246.12,2025-04-24,Pending,MUM-X-ERR,GHATKOPAR,mumbai,,Williams-Werner,Electronics
661e0f0e-ee10-4503-b766-ab44b2ca0644,b970c05d-9def-4281-970f-34bb25944c4e,8423.91,2025-04-21,Success,MUM-GHA,Ghatkopar,Mumbai,upi,Figueroa-Stanley,
48c43b53-dee7-40eb-88a4-36d9da581e29,121a81d8-9063-4fb7-af8f-8421bb28a937,4763.69,2025-04-23,,MUM-GHA,Ghatkopar,Mumbai,CASH,Wilson-Harris,
524715af-7ee6-490b-932d-6b2fcfc0426b,d7f74004-a2b4-41ff-a6b0-aca026fd8253,961.05,2025-04-27, success ,MUM-GHA,Ghatkopar,Mumbai,CASH,Anderson-Vargas,
53c50458-a4f9-415f-af4d-a8c98a47055f,4c103b64-623d-434f-abde-5e49d533e782,4465.69,2025-04-22,Failed,MUM-GHA,Ghatkopar,Mumbai,CASH,"Hartman, Case and Taylor",
9eff689a-545a-4a02-82e8-42e9e89966a5,26bdac07-a622-49e0-b59c-9c87f83914c9,5263.77,2025-04-21,Success,MUM-GHA,Ghatkopar,Mumbai,CASH,"White, Rogers and Hall",Electronics
fe4aa003-7c06-4533-aeb7-898191fa7144,f141be04-9bcf-4139-ad98-6e126d375f0d,6598.32,2025-04-22,FAILED,MUM-X-ERR,GHATKOPAR,mumbai,Net Banking,"Harding, Hansen and Oliver",Electronics
9181ae73-f00c-4f5f-aa55-ee322006b538,c6db92db-d3c8-4a2b-ba0d-454bf0aea873,7967.68,2025-04-27,,MUM-GHA,Ghatkopar,Mumbai,Net Banking,Banks LLC,Groceries
e11cde74-21b7-4765-88b0-d2d966fd046f,a8ac7981-794e-4323-95ce-0875011ab64c,892.65,2025-04-25,,MUM-GHA,Ghatkopar,Mumbai,,Burton Inc,Groceries
68b6daf8-6892-40c7-9d9d-aa1972d57a20,6e3cae9f-86b4-4979-afbb-028819baa1fd,9647.8,2025-04-27, pending,MUM-GHA,Ghatkopar,Mumbai,Cash,Spence-Hernandez,Groceries
bb87b957-ea54-40e5-a6d1-b539c3b50b86,4a5652b8-c570-4f8a-b6ad-7753a4572e6a,4665.29,2025-04-21, success ,MUM-X-ERR,GHATKOPAR,mumbai,CASH,Wright-Ayers,
b5f861b0-1eda-428c-81f3-e01c7da1f511,f6e0a26e-39bc-4100-9167-a3df29d2680a,4074.9,2025-04-21,Failed,MUM-GHA,Ghatkopar,Mumbai,,"Lee, Guerrero and Stewart",Electronics
0d44b7c1-0342-43dd-98d0-9c29679ab1a7,324a803a-7ef1-45fe-bd7d-38cf7f07014d,835.75,2025-04-23,Success,MUM-GHA,Ghatkopar,Mumbai,Debit Card,Crawford LLC,clothng
,160ea58f-6b46-42f8-b9cb-20e80fe66ed6,9765.0,2025-04-27,Failed,MUM-X-ERR,GHATKOPAR,mumbai,Credit Card,"White, Williams and Neal",Groceries
d5f8a246-be84-4a19-9f3c-4ac3d554da12,122beb5e-b8e4-4b7b-98fd-a3b59575cb44,6145.52,2025-04-23, success ,MUM-GHA,Ghatkopar,Mumbai,Cash,"Washington, Clark and Williams",Electronics
cf7415e8-2f10-41cb-bb54-c7f44c5b6bf4,4f7d82c7-ff0d-4117-9a0e-862a4b3e8d2a,2142.1,2025-04-24, pending,MUM-GHA,Ghatkopar,Mumbai,,Mitchell-Lynch,clothng
6e66869f-7e4e-4d70-855b-e7a1c79c6ed5,f571e282-bff2-453c-b1a5-7dee06927c51,8483.22,2025-04-27,,MUM-GHA,Ghatkopar,Mumbai,Debit Card,Cline-Schroeder,electronics
ec4a0dfd-10d0-4d27-bc87-aa3950b1d09f,b11ba77e-0150-4dcb-a285-db4df7fb7406,3273.91,2025-04-26,Failed,MUM-GHA,Ghatkopar,Mumbai,CASH,Morris-Waters,Clothing
78a1ad7f-c953-41ad-9240-38bb9bb99a3c,eb3e383a-fa3a-4fe0-88bb-d3f5a13f7bfd,4907.19,2025-04-27,Success,MUM-GHA,Ghatkopar,Mumbai,Debit Card,,Electronics
5b76b287-f998-444f-87ff-eb5bda73f900,3d280b41-b1f0-48ea-bbba-f12316fefed9,4710.61,2025-04-23,Failed,MUM-GHA,Ghatkopar,Mumbai,,"Watkins, Miller and Bell",clothng
097b6a0a-417b-4a39-b8ba-d003314d4b4e,8eefa874-12c8-4cc2-905e-92789ae27ece,2342.36,2025-04-25,FAILED,MUM-GHA,Ghatkopar,Mumbai,Cash,,
58a83686-5824-4832-805f-655282463029,ba9a7c30-143c-4d5e-bdf2-e68f8b6b7f7a,4148.54,2025-04-22,FAILED,MUM-GHA,Ghatkopar,Mumbai,Debit Card,Woodard-Hayes,Toys
9e80e9b9-ccff-4bde-b7e3-602d45708ada,3fb65c7e-5da1-4dc9-ab48-9f7a64745dce,7324.19,2025-04-22,Failed,MUM-GHA,Ghatkopar,Mumbai,upi,Williams-Vasquez,
,48f975a1-0cf2-4534-80b0-7a66790915e4,9271.89,2025-04-21,Success,MUM-X-ERR,GHATKOPAR,mumbai,UPI,"Sanchez, Poole and Smith",clothng
4fcf635b-e48d-48b9-91a5-9b654fbd4f39,fc1616b1-46bb-48ea-8a21-ab251e02c368,5949.29,2025-04-21, pending,MUM-GHA,Ghatkopar,Mumbai,Debit Card,Munoz Ltd,Electronics
14d8eae0-2d9f-4daf-a64c-ed708bc22e17,ae5438c8-062d-4f59-8a25-09a4cde4c36f,7677.62,2025-04-23,Success,MUM-GHA,Ghatkopar,Mumbai,Debit Card,"Reyes, Mack and Wang",Electronics
3d117149-0a37-409c-bb3c-0b49bd08ce57,d21dd567-ea53-409d-9f2a-cb168384907b,3513.38,2025-04-27,,MUM-GHA,Ghatkopar,Mumbai,upi,"Ross, Fry and Fuller",
