Transaction_ID,Customer_ID,Amount,Date,Status,Branch_ID,Branch_Name,City,Payment_Method,Merchant_Name,Product_Category
34010b60-5e9a-45cf-8699-576dd288b06a,9237e145-f2a8-4faa-b11a-31f5482680f9,9176.98,2025-04-26,,MUM-NAV,NaviMumbai,Mumbai,,"Wallace, Martinez and Chavez",Toys
b4d1880b-b75c-4825-9c0f-b87feb01bba7,71c487bc-1eb4-4d3b-9841-26aceb4f9efb,5136.75,2025-04-26, pending,MUM-NAV,NaviMumbai,Mumbai,,,clothng
dd500d6b-163c-4529-8357-ac517e45fee4,bb4c5947-4748-4576-be3a-4f96230681aa,7634.12,2025-04-22,Success,MUM-NAV,NaviMumbai,Mumbai,upi,,
143dbd6c-cdbb-4c1f-9a8d-785ef7eba7e9,ba345e82-38f1-41ab-8b17-0945be88f8e4,8399.89,2025-04-21,Pending,MUM-X-ERR,NAVIMUMBAI,mumbai,Debit Card,Moore-Rogers,Toys
8349c078-bc4b-4732-a170-920c7416386b,b4f17ca9-12f7-46d1-86ec-757fac0d8818,2589.13,2025-04-24,,MUM-NAV,NaviMumbai,Mumbai,,Hamilton Ltd,Books
30bdf7be-5149-4675-8573-b517cb508544,d66f3fff-a93f-47ec-8ee4-3f7fd7680657,6974.39,2025-04-21,,MUM-NAV,NaviMumbai,Mumbai,Net Banking,"Burton, Sanchez and Willis",
ac6082a4-385f-473d-b173-16d5df42eabd,26c451fd-7859-4bc6-83e9-c94c3217f93c,5151.82,2025-04-26,Pending,MUM-NAV,NaviMumbai,Mumbai,Net Banking,Gross LLC,Clothing
e0389eb7-a280-4710-b2d5-ad8721bd1db7,db6ea0ba-842c-4512-b369-c68316b5cf7a,6324.05,2025-04-23,Failed,MUM-NAV,NaviMumbai,Mumbai,Cash,Hamilton Group,Electronics
b5c1f027-3563-459e-9c78-bade8ec7dccb,b01f90e7-6b0c-4da5-89ef-a19b2d98f251,6566.94,2025-04-24,FAILED,MUM-NAV,NaviMumbai,Mumbai,,"James, Silva and Little",Books
f44f5031-a82d-4879-87cc-4d1c7bf6b2ad,d73794d5-4cd3-4406-a0bd-60442e18b22b,7424.09,2025-04-23, pending,MUM-NAV,NaviMumbai,Mumbai,UPI,Contreras-Henry,Home Decor
